date_collected,redcap_event_name,date_collected_complete,rainfall_hobo,temp_mean_hobo,temp_min_hobo,temp_max_hobo,rh_mean_hobo,rh_min_hobo,rh_max_hobo,dewpt_mean_hobo,dewpt_min_hobo,dewpt_max_hobo,hobo_complete
2019-09-05,ukunda_arm_1,2,,25.5,24.8,26.9,,,,,,,2
2019-09-05,ukunda_dispensary_arm_1,2,,26.2,25.8,26.8,,,,,,,2
2019-09-05,msambweni_arm_1,2,,24.8,24.6,25.0,,,,,,,2
2019-09-05,msambweni_insectar_arm_1,2,,28.7,28.5,29.0,74.7,74.1,75.1,,,,2
2019-09-06,ukunda_arm_1,2,,27.6,22.5,34.7,,,,,,,2
2019-09-06,ukunda_dispensary_arm_1,2,,27.0,23.9,31.5,,,,,,,2
2019-09-06,msambweni_arm_1,2,,28.2,22.3,35.1,,,,,,,2
2019-09-06,msambweni_insectar_arm_1,2,,28.7,27.5,30.3,72.9,69.9,75.9,,,,2
2019-09-07,ukunda_arm_1,2,,27.1,22.2,33.8,,,,,,,2
2019-09-07,ukunda_dispensary_arm_1,2,,26.7,23.6,31.0,,,,,,,2
2019-09-07,msambweni_arm_1,2,,27.1,23.0,32.2,,,,,,,2
2019-09-07,msambweni_insectar_arm_1,2,,27.8,26.8,28.6,73.2,68.4,78.8,,,,2
2019-09-08,ukunda_arm_1,2,,26.4,22.9,31.3,,,,,,,2
2019-09-08,ukunda_dispensary_arm_1,2,,26.0,23.4,29.0,,,,,,,2
2019-09-08,msambweni_arm_1,2,7.4,25.8,23.3,30.7,,,,,,,2
2019-09-08,msambweni_insectar_arm_1,2,,26.7,26.2,27.8,77.4,72.2,82.8,,,,2
2019-09-09,ukunda_arm_1,2,11.7,24.5,22.2,31.1,,,,,,,2
2019-09-09,ukunda_dispensary_arm_1,2,,24.5,23.0,28.5,,,,,,,2
2019-09-09,msambweni_arm_1,2,22.4,24.5,22.2,30.1,,,,,,,2
2019-09-09,msambweni_insectar_arm_1,2,,25.6,25.0,26.1,82.9,78.0,87.3,,,,2
2019-09-10,ukunda_arm_1,2,14.2,25.1,21.3,34.0,,,,,,,2
2019-09-10,ukunda_dispensary_arm_1,2,,24.7,22.0,29.9,,,,,,,2
2019-09-10,msambweni_arm_1,2,18.3,24.9,22.0,31.0,,,,,,,2
2019-09-10,msambweni_insectar_arm_1,2,,25.2,24.4,25.9,85.8,83.3,88.5,,,,2
2019-09-11,ukunda_arm_1,2,3.6,26.7,22.0,33.7,,,,,,,2
2019-09-11,ukunda_dispensary_arm_1,2,,26.0,22.8,30.8,,,,,,,2
2019-09-11,msambweni_arm_1,2,0.5,26.7,22.1,34.4,,,,,,,2
2019-09-11,msambweni_insectar_arm_1,2,,26.4,24.8,28.2,83.5,76.9,89.2,,,,2
2019-09-12,ukunda_arm_1,2,0.0,27.3,21.8,35.2,,,,,,,2
2019-09-12,ukunda_dispensary_arm_1,2,,26.6,23.1,31.7,,,,,,,2
2019-09-12,msambweni_arm_1,2,0.0,27.0,21.9,33.7,,,,,,,2
2019-09-12,msambweni_insectar_arm_1,2,,27.2,25.7,28.6,80.5,76.7,86.2,,,,2
2019-09-13,ukunda_arm_1,2,10.9,26.5,22.8,33.7,,,,,,,2
2019-09-13,ukunda_dispensary_arm_1,2,,26.3,23.7,30.8,,,,,,,2
2019-09-13,msambweni_arm_1,2,0.8,27.1,22.8,33.7,,,,,,,2
2019-09-13,msambweni_insectar_arm_1,2,,27.4,26.4,28.2,81.3,79.0,85.6,,,,2
2019-09-14,ukunda_arm_1,2,1.3,27.4,23.0,34.3,,,,,,,2
2019-09-14,ukunda_dispensary_arm_1,2,,26.8,24.2,30.9,,,,,,,2
2019-09-14,msambweni_arm_1,2,0.3,28.6,23.6,36.0,,,,,,,2
2019-09-14,msambweni_insectar_arm_1,2,,28.0,26.6,29.8,80.2,75.0,84.6,,,,2
2019-09-15,ukunda_arm_1,2,0.0,27.7,22.8,33.8,,,,,,,2
2019-09-15,ukunda_dispensary_arm_1,2,,27.0,24.1,31.1,,,,,,,2
2019-09-15,msambweni_arm_1,2,0.0,28.2,24.2,35.1,,,,,,,2
2019-09-15,msambweni_insectar_arm_1,2,,27.9,27.0,29.0,78.5,75.3,81.6,,,,2
2019-09-16,ukunda_arm_1,2,0.0,27.1,22.2,34.3,,,,,,,2
2019-09-16,ukunda_dispensary_arm_1,2,,26.7,23.7,31.0,,,,,,,2
2019-09-16,msambweni_arm_1,2,1.3,26.9,22.6,33.8,,,,,,,2
2019-09-16,msambweni_insectar_arm_1,2,,27.8,26.8,28.8,76.4,72.0,80.5,,,,2
2019-09-17,ukunda_arm_1,2,0.0,27.2,21.4,35.0,,,,,,,2
2019-09-17,ukunda_dispensary_arm_1,2,,26.7,22.9,32.2,,,,,,,2
2019-09-17,msambweni_arm_1,2,0.0,28.0,21.4,36.1,,,,,,,2
2019-09-17,msambweni_insectar_arm_1,2,,27.9,26.5,29.1,75.8,72.6,80.8,,,,2
2019-09-18,ukunda_arm_1,2,0.0,27.0,21.5,34.8,,,,,,,2
2019-09-18,ukunda_dispensary_arm_1,2,,26.6,23.1,31.9,,,,,,,2
2019-09-18,msambweni_arm_1,2,0.0,27.5,21.3,34.3,,,,,,,2
2019-09-18,msambweni_insectar_arm_1,2,,28.1,26.7,29.3,74.7,70.0,80.1,,,,2
2019-09-19,ukunda_arm_1,2,0.0,26.8,22.3,34.2,,,,,,,2
2019-09-19,ukunda_dispensary_arm_1,2,,26.7,23.8,31.4,,,,,,,2
2019-09-19,msambweni_arm_1,2,0.0,27.4,22.5,33.8,,,,,,,2
2019-09-19,msambweni_insectar_arm_1,2,,28.0,26.8,28.9,74.4,71.3,78.2,,,,2
2019-09-20,ukunda_arm_1,2,0.0,27.5,22.7,34.5,,,,,,,2
2019-09-20,ukunda_dispensary_arm_1,2,,26.9,23.7,31.4,,,,,,,2
2019-09-20,msambweni_arm_1,2,0.0,27.8,21.8,34.6,,,,,,,2
2019-09-20,msambweni_insectar_arm_1,2,,28.2,26.7,29.4,74.0,68.6,78.8,,,,2
2019-09-21,ukunda_arm_1,2,0.0,27.6,22.0,35.1,,,,,,,2
2019-09-21,ukunda_dispensary_arm_1,2,,27.1,23.6,31.8,,,,,,,2
2019-09-21,msambweni_arm_1,2,0.0,28.5,21.7,36.7,,,,,,,2
2019-09-21,msambweni_insectar_arm_1,2,,28.5,26.9,30.1,73.5,68.9,79.1,,,,2
2019-09-22,ukunda_arm_1,2,0.0,27.5,21.4,35.2,,,,,,,2
2019-09-22,ukunda_dispensary_arm_1,2,,27.0,23.3,31.6,,,,,,,2
2019-09-22,msambweni_arm_1,2,0.0,28.0,21.5,36.1,,,,,,,2
2019-09-22,msambweni_insectar_arm_1,2,,28.1,27.0,29.0,73.5,70.8,77.6,,,,2
2019-09-23,ukunda_arm_1,2,0.3,28.0,22.7,34.1,,,,,,,2
2019-09-23,ukunda_dispensary_arm_1,2,,27.3,24.3,31.2,,,,,,,2
2019-09-23,msambweni_arm_1,2,0.0,29.4,24.4,37.5,,,,,,,2
2019-09-23,msambweni_insectar_arm_1,2,,29.1,27.4,31.1,71.2,63.6,77.3,,,,2
2019-09-24,ukunda_arm_1,2,3.3,27.7,22.4,34.4,,,,,,,2
2019-09-24,ukunda_dispensary_arm_1,2,,27.0,23.9,30.9,,,,,,,2
2019-09-24,msambweni_arm_1,2,0.0,28.9,23.3,37.6,,,,,,,2
2019-09-24,msambweni_insectar_arm_1,2,,29.5,28.1,30.5,70.8,68.5,74.2,,,,2
2019-09-25,ukunda_arm_1,2,10.4,26.3,23.4,32.7,,,,,,,2
2019-09-25,ukunda_dispensary_arm_1,2,,26.1,24.3,29.4,,,,,,,2
2019-09-25,msambweni_arm_1,2,8.4,27.1,24.4,32.4,,,,,,,2
2019-09-25,msambweni_insectar_arm_1,2,,28.3,27.6,29.3,76.2,71.8,80.8,,,,2
2019-09-26,ukunda_arm_1,2,10.9,26.5,23.0,32.5,,,,,,,2
2019-09-26,ukunda_dispensary_arm_1,2,,26.1,23.7,29.6,,,,,,,2
2019-09-26,msambweni_arm_1,2,41.4,26.8,23.6,31.9,,,,,,,2
2019-09-26,msambweni_insectar_arm_1,2,,27.4,26.8,28.1,81.4,78.7,85.1,,,,2
2019-09-27,ukunda_arm_1,2,2.3,27.0,24.3,34.0,,,,,,,2
2019-09-27,ukunda_dispensary_arm_1,2,,26.6,24.9,30.3,,,,,,,2
2019-09-27,msambweni_arm_1,2,0.0,27.8,24.4,32.2,,,,,,,2
2019-09-27,msambweni_insectar_arm_1,2,,27.7,27.0,28.4,76.8,73.5,79.8,,,,2
