"","Site","Environment","Date","prop_mean"
"1","Kisumu","Household",2020-10-06,1
"2","Kisumu","Household",2020-10-07,1
"3","Kisumu","Household",2020-10-08,0.5
"4","Kisumu","Household",2020-10-09,0.571428571428571
"5","Kisumu","Household",2020-10-13,0.6
"6","Kisumu","Household",2020-10-14,0.666666666666667
"7","Kisumu","Household",2020-10-15,0.5
"8","Kisumu","Household",2020-10-16,0.75
"9","Kisumu","Household",2020-10-21,1
"10","Kisumu","Household",2020-10-22,1
"11","Kisumu","Household",2020-10-23,0.625
"12","Kisumu","Household",2020-10-27,0.75
"13","Kisumu","Household",2020-10-28,0.5
"14","Kisumu","Household",2020-10-29,0.333333333333333
"15","Kisumu","Household",2020-10-30,0.375
"16","Kisumu","Household",2020-11-03,0.8
"17","Kisumu","Household",2020-11-04,0.5
"18","Kisumu","Household",2020-11-06,0.5
"19","Kisumu","Household",2020-11-10,0.75
"20","Kisumu","Household",2020-11-11,0.666666666666667
"21","Kisumu","Household",2020-11-13,0.625
"22","Kisumu","Household",2020-11-17,0.75
"23","Kisumu","Household",2020-11-18,0.5
"24","Kisumu","Household",2020-11-20,0.125
"25","Kisumu","Household",2020-11-24,0.75
"26","Kisumu","Household",2020-11-25,0.5
"27","Kisumu","Household",2020-11-27,0.5
"28","Kisumu","Household",2020-12-01,0.875
"29","Kisumu","Household",2020-12-02,0.5
"30","Kisumu","Household",2020-12-07,0.5
"31","Kisumu","Household",2020-12-08,0.571428571428571
"32","Kisumu","Household",2020-12-09,0.777777777777778
"33","Kisumu","Household",2020-12-10,0.857142857142857
"34","Kisumu","Household",2020-12-15,0.75
"35","Kisumu","Household",2020-12-18,0.75
"36","Kisumu","Household",2021-01-05,0
"37","Kisumu","Household",2021-01-12,0.75
"38","Kisumu","Household",2021-01-13,0.75
"39","Kisumu","Household",2021-01-15,0.375
"40","Kisumu","Household",2021-01-19,0.5
"41","Kisumu","Household",2021-01-20,0.5
"42","Kisumu","Household",2021-01-22,0.5
"43","Kisumu","Household",2021-01-26,0.8
"44","Kisumu","Household",2021-01-27,0.333333333333333
"45","Kisumu","Household",2021-01-29,0.571428571428571
"46","Kisumu","Household",2021-02-02,0.5
"47","Kisumu","Household",2021-02-03,0
"48","Kisumu","Household",2021-02-05,0.714285714285714
"49","Kisumu","Household",2021-02-09,0.75
"50","Kisumu","Household",2021-02-10,0.75
"51","Kisumu","Household",2021-02-12,0.5
"52","Kisumu","Household",2021-02-16,0.5
"53","Kisumu","Household",2021-02-17,0.5
"54","Kisumu","Household",2021-02-19,0.375
"55","Kisumu","Household",2021-02-23,1
"56","Kisumu","Household",2021-02-24,1
"57","Kisumu","Household",2021-02-26,0.375
"58","Kisumu","Household",2021-03-01,0
"59","Kisumu","Household",2021-03-02,1
"60","Kisumu","Household",2021-03-03,0.25
"61","Kisumu","Household",2021-03-05,0.5
"62","Kisumu","Household",2021-03-09,0.75
"63","Kisumu","Household",2021-03-10,0.5
"64","Kisumu","Household",2021-03-12,0.5
"65","Kisumu","Household",2021-03-16,0
"66","Kisumu","Household",2021-03-17,0.25
"67","Kisumu","Household",2021-03-19,0.5
"68","Kisumu","Household",2021-03-23,1
"69","Kisumu","Household",2021-03-24,0.75
"70","Kisumu","Household",2021-03-26,0.5
"71","Kisumu","Household",2021-04-07,1
"72","Kisumu","Household",2021-04-08,0.75
"73","Kisumu","Household",2021-04-10,0.625
"74","Kisumu","Household",2021-04-13,1
"75","Kisumu","Household",2021-04-14,0.75
"76","Kisumu","Household",2021-04-16,0.375
"77","Kisumu","Household",2021-04-20,0.666666666666667
"78","Kisumu","Household",2021-04-21,0.75
"79","Kisumu","Household",2021-04-23,0.625
"80","Kisumu","Household",2021-04-27,1
"81","Kisumu","Household",2021-04-28,0.75
"82","Kisumu","Household",2021-04-30,0.75
"83","Kisumu","Household",2021-05-04,1
"84","Kisumu","Household",2021-05-05,0.5
"85","Kisumu","Household",2021-05-07,0.875
"86","Kisumu","Household",2021-05-11,1
"87","Kisumu","Household",2021-05-12,0.666666666666667
"88","Kisumu","Household",2021-05-14,0.75
"89","Kisumu","Household",2021-05-18,1
"90","Kisumu","Household",2021-05-19,0.75
"91","Kisumu","Household",2021-05-21,0.875
"92","Kisumu","Household",2021-05-25,1
"93","Kisumu","Household",2021-05-26,0.75
"94","Kisumu","Household",2021-05-28,0.5
"95","Kisumu","Household",2021-06-02,1
"96","Kisumu","Household",2021-06-03,0.75
"97","Kisumu","Household",2021-06-05,0.625
"98","Kisumu","Household",2021-06-08,0.75
"99","Kisumu","Household",2021-06-09,0.25
"100","Kisumu","Household",2021-06-11,0.375
"101","Kisumu","Household",2021-06-15,0.75
"102","Kisumu","Household",2021-06-16,0.5
"103","Kisumu","Household",2021-06-18,0.625
"104","Kisumu","Household",2021-06-25,0.625
"105","Kisumu","Household",2021-06-29,0.75
"106","Kisumu","Household",2021-06-30,0.5
